 station cast   lat    long    jday   mo/da/yr   gmt
 121      1   24.404 -80.616   290    10/17/21  1824 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
  203   18.969   18.933   36.590    0.714    201.604   156.367
  204   18.952   18.916   36.587    0.716    202.596   156.044
  205   18.908   18.872   36.579    0.718    203.589   156.022
  206   18.854   18.817   36.570    0.720    204.582   155.560
  207   18.814   18.777   36.564    0.722    205.574   154.555
  208   18.803   18.766   36.562    0.723    206.567   153.976
  209   18.774   18.736   36.557    0.725    207.560   153.955
  210   18.729   18.692   36.550    0.727    208.552   153.897
  211   18.699   18.661   36.546    0.729    209.545   153.673
  212   18.669   18.632   36.541    0.731    210.537   153.497
  213   18.618   18.580   36.534    0.732    211.530   153.313
  214   18.612   18.574   36.534    0.734    212.522   153.252
  215   18.607   18.568   36.533    0.736    213.515   153.339
  216   18.559   18.521   36.528    0.738    214.508   153.522
  217   18.506   18.468   36.522    0.740    215.500   153.704
  218   18.448   18.409   36.513    0.741    216.493   153.844
  219   18.377   18.338   36.504    0.743    217.485   153.933
  220   18.322   18.283   36.498    0.745    218.478   153.826
  221   18.289   18.250   36.494    0.747    219.470   153.970
  222   18.264   18.225   36.490    0.748    220.463   154.172
  223   18.229   18.190   36.485    0.750    221.456   154.281
  224   18.197   18.158   36.481    0.752    222.448   154.050
  225   18.178   18.139   36.478    0.754    223.441   153.823
  226   18.150   18.111   36.474    0.755    224.433   153.765
  227   18.120   18.081   36.470    0.757    225.426   153.678
  228   18.102   18.062   36.468    0.759    226.418   153.515
  229   18.075   18.035   36.464    0.760    227.411   153.366
  230   18.043   18.003   36.459    0.762    228.403   153.362
  231   18.002   17.962   36.453    0.764    229.396   153.247
  232   17.954   17.914   36.445    0.766    230.388   152.935
  233   17.874   17.834   36.433    0.767    231.381   152.589
  234   17.822   17.782   36.425    0.769    232.373   152.133
  235   17.743   17.703   36.412    0.771    233.366   151.719
  236   17.678   17.637   36.403    0.772    234.358   151.191
  237   17.616   17.575   36.393    0.774    235.351   150.692
  238   17.554   17.513   36.384    0.776    236.343   150.204
  239   17.493   17.452   36.375    0.777    237.336   149.869
