latitude,longitude,mean_percent_replaceable,sample_size,sd_replaceable,low_oxy_depth,low_oxy_depth_prop,mean_max_depth,number_replacements,sd_num,site_samples,lb,num_lb,min_pct_replaceable,max_pct_replaceable,number_of_stations
26,-86,0.16666666666666666,24,0.11511089261379083,399,0.12138728323699421,3280.2916666666665,1.4166666666666667,0.928611242975073,8.25,0,0,0,0.2857142857142857,3
26,-84,0.37078651685393255,89,0.1345620008830546,300,1.935483870967742,786.6404494382023,3.3146067415730336,1.6692098404088298,8.52808988764045,11.11111111111111,1,0,0.5,12
26,-82,0,3,0,3,0.15,14.333333333333334,0,0,1.6666666666666667,0,0,0,0,2
26,-80,0.2857142857142857,7,0,158,1,158,2,0,7,28.57142857142857,2,0.2857142857142857,0.2857142857142857,1
28,-96,0.39285714285714285,28,0.14318744883070408,519,1.300751879699248,332.2142857142857,3.0714285714285716,1.6981159806084754,7.142857142857143,8.750000000000002,0.3500000000000001,0,0.5,5
28,-94,0.45454545454545453,11,0.05222329678670934,69,1,59.90909090909091,2.5454545454545454,0.5222329678670935,5.545454545454546,40,2,0.4,0.5,2
28,-90,0.3939393939393939,33,0.2275251123891092,90,0.6040268456375839,732.030303030303,2.6363636363636362,1.3185736094872988,6.757575757575758,0,0,0,1,7
28,-88,0.3333333333333333,21,0.07715167498104594,135,0.060133630289532294,1653.2857142857142,2.3333333333333335,0.48304589153964794,7.095238095238095,25,2,0.25,0.42857142857142855,3
28,-86,0.3731343283582089,67,0.13554127219578319,247,0.9959677419354839,902.1641791044776,3.1492537313432836,1.2092287968493827,8.492537313432836,22.22222222222222,2,0.2222222222222222,0.6666666666666666,8
28,-84,0.4375,16,0.17516226243634264,124,1,100.8125,4.375,2.5,8.625,18.75,0.75,0,0.5454545454545454,3
28,-82,0,1,NA,10,1,10,0,NA,1,0,0,0,0,1
28,-80,0.6028368794326241,141,0.24488308303356163,458.785,1.7272881292120026,370.961390070922,5.858156028368795,2.494512721622882,9.638297872340425,25,2,0,1,16
28,-78,0.5384615384615384,13,0,780.906,0.9106202058412648,857.554,7,0,13,53.84615384615385,7,0.5384615384615384,0.5384615384615384,1
30,-88,0.4666666666666667,30,0.1081815108484171,400,1.82648401826484,266.7,4.733333333333333,1.2298957997167563,10.066666666666666,33.33333333333333,3,0.3333333333333333,0.6,3
30,-86,0.5,4,0.3333333333333333,49,1,40.25,1.5,1,2.5,9.999999999999993,0.2999999999999998,0,0.6666666666666666,2
30,-80,0.5,62,0.22849645708228278,344.69,0.6347776924507696,511.7698870967742,4.983870967741935,2.7310715814635356,10.451612903225806,26.666666666666668,2,0.26666666666666666,0.8333333333333334,7
30,-78,0.723404255319149,47,0.17016579171935617,769.182,0.9296666320188935,832.1569361702128,8.553191489361701,2.0302978003699024,11.808510638297872,45.45454545454545,5,0.45454545454545453,0.9090909090909091,4
30,-76,0.5952380952380952,42,0.17196629502993288,877.125,0.2418057586780596,3084.2265238095238,8.857142857142858,2.6186146828319083,15.476190476190476,42.10526315789473,5,0.42105263157894735,0.8,3
32,-120,0.09375,96,0.07672839267827232,788.7,0.5958298708166503,2308.396875,1.9895833333333333,1.803474959577915,19.479166666666668,0,0,0,0.21739130434782608,5
32,-80,0.675,40,0.22471888104602047,116.348,6.092156246727407,33.72075,3.45,1.6938803881120914,5.1,33.33333333333333,1,0,1,10
32,-78,0.75,36,0.2663263134116107,256.022,0.7064507762012769,395.58433333333335,6.5,3.760699023168052,8.11111111111111,28.57142857142857,2,0.2857142857142857,1,5
32,-76,0.4666666666666667,15,0,811.961,0.32888467096991614,2468.832,7,0,15,46.666666666666664,7,0.4666666666666667,0.4666666666666667,1
34,-124,0.20833333333333334,24,0,749.9,0.17842866660321688,4202.8,5,0,24,20.833333333333336,5,0.20833333333333334,0.20833333333333334,1
34,-122,0.16666666666666666,96,0.02980800078843712,749.5,0.20396777880585643,3072.446875,3.1875,0.3923612728354477,19.354166666666668,13.636363636363635,3,0.13636363636363635,0.2222222222222222,5
34,-120,0.125,136,0.051892951159217014,570.5,1.6512301013024602,381.74632352941177,1.713235294117647,0.6982315039551484,13.794117647058824,6.25,1,0,0.2222222222222222,11
34,-118,0.125,64,0.020389258061373216,607.9,1,603.3484374999999,1.796875,0.4055052697678833,15.09375,10,1,0.1,0.16666666666666666,5
